"","dataset","model","run","best_model_train_loss","best_model_val_loss","best_model_train_acc","best_model_val_acc","best_model_learning_rate","best_model_nb_epoch","precision","accuracy","recall","duration"
"36","ecg5000","tlenet",3,5.92857531955815e-07,1.98795068264008,1,0.93013334274292,0,499,0.793341569730021,0.934888888888889,0.531922009644955,417.38202214241
"37","ecgfivedays","mlp",1,0.473703950643539,0.627098560333252,0.782608687877655,0.572589993476868,0,447,0.768844221105528,0.572590011614402,0.575057736720554,537.932095050812
"38","ecgfivedays","encoder",1,0.0405983366072178,0.124939896166325,1,0.98257839679718,0,95,0.983258928571429,0.982578397212544,0.982476635514019,58.0864369869232
"39","ecgfivedays","resnet",1,4.8836889618542e-05,0.073586031794548,1,0.98257839679718,0,498,0.982582420547132,0.982578397212544,0.982598044505838,1467.81822729111
"40","ecgfivedays","tlenet",1,0.45429253578186,0.843850076198578,0.768181800842285,0.606923758983612,0,496,0.762906672180866,0.62137049941928,0.623489132546243,1692.5504462719
"41","ecgfivedays","mlp",2,0.455918192863464,0.618261456489563,0.869565188884735,0.587688744068146,0,494,0.755630630630631,0.587688734030197,0.590028814400725,397.416108608246
"42","ecgfivedays","encoder",2,0.0401590019464493,0.13292321562767,1,0.977932631969452,0,97,0.978605478208232,0.977932636469222,0.977830718093717,54.6687002182007
"43","ecgfivedays","resnet",2,8.1420483184047e-05,0.0513522103428841,1,0.981416940689087,0,418,0.981532649757151,0.981416957026713,0.981470289870713,1313.79900169373
"44","ecgfivedays","tlenet",2,0.467366307973862,0.823080062866211,0.764229238033295,0.596291303634644,0,498,0.727713591405184,0.613240418118467,0.615284582676826,1594.01594495773
"45","ecgfivedays","mlp",3,0.454234749078751,0.7015141248703,0.826086938381195,0.507549345493317,0,163,0.5338713219148,0.507549361207898,0.50998791306037,430.017507553101
"46","ecgfivedays","encoder",3,0.0302595775574446,0.11174413561821,1,0.984901249408722,0,97,0.98542600896861,0.984901277584204,0.98481308411215,59.5868525505066
"47","ecgfivedays","resnet",3,0.000106451225292403,0.0110974004492164,1,0.998838543891907,0,441,0.998847926267281,0.99883855981417,0.998831775700935,1409.12826704979
"48","ecgfivedays","tlenet",3,0.482580482959747,0.754850924015045,0.763438761234283,0.607850253582001,0,499,0.753536998436686,0.602787456445993,0.605013381968876,1743.52657294273
